Name,Rating
Jeepers Creepers 3, 1
The Room, 1
The Big Lebowski, 2
Zero Dark Thirty, 2
Reservoir Dogs, 3
Home Alone, 3
Bee Movie, 2
Super 8, 2
Back To The Future: Part I, 3
Back To The Future: Part II, 3
Back To The Future: Part III, 2
Terminator, 3
Terminator 2: Judgement Day, 5
Terminator 3: Rise Of The Machines, 2
Jumanji: Welcome To The Jungle, 3
Gremlins, 4
Gremlins 2, 2
No Country For Old Men, 2
Jaws, 1
Saving Private Ryan, 3
Split, 1
The Disaster Artist, 4
50/50, 3
Inside Out, 3
The Pursuit of Happyness, 5
Seven Pounds, 1
A Quiet Place, 3
Phone Booth, 3
The Nice Guys, 2
Cast Away, 4
Memento, 3
The Departed, 1
Game Night, 3
The Butterfly Effect, 5
Se7en, 3
Inside Man, 2
Jurassic World: Fallen Kingdom, 2
American Made, 3
Romeo + Juliet (1996), 4
Mission Impossible, 2
Crash, 3
Contact, 2
End Of Watch, 3
Top Gun, 2
Incredibles 2, 2
A Few Good Men, 3
Total Recall, 2
The Sixth Sense, 3
The Shallows, 2
The Parent Trap, 3
Elysium, 2
Scott Pilgrim Vs The World, 2
Groundhog Day, 1
Limitless, 4
Burn After Reading, 2
Deck The Halls, 2
American Psycho, 4
The Machinist, 4
Nativity!, 3
Are We There Yet?, 5
The Meg, 1
Unbreakable, 3
The Running Man, 3
Bird Box, 3
The Fighter, 3
Primal Fear, 3
Gangs Of New York, 2
Happy Death Day, 2
Black Swan, 5
The Imitation Game, 3
Requiem For A Dream, 4
Fargo, 3
American Beauty, 2
Gone Baby Gone, 1
First Man, 3
47 Metres Down, 2
Johnny English: Strikes Again, 1
Moneyball, 2
Pet Sematary (2019), 4
Rounders, 3
"Crazy, Stupid, Love", 2
Bridget Jones' Diary, 3
Fear and Loathing In Las Vegas, 1
To All The Boys I've Ever Loved, 2
The Girl Next Door, 2
The Notebook, 2
War Dogs, 3
Snowpiercer, 1
The Goonies, 2
Bridget Jones: The Edge of Reason, 2
Gran Torino, 3
Mile 22, 1
The Lego Movie 2, 3
21, 3
Zodiac, 3
The Other Guys, 2
Murder Mystery, 2
The Equaliser, 2
True Story, 3
50 First Dates, 2
Stronger, 3
Hotel Mumbai, 5
Silence Of The Lambs, 2
Godzilla: King of the Monsters, 1
He's Just Not That Into You, 3
Dear John, 2
Birdman, 3
Once Upon A Time In Hollywood, 2
Bridget Jones' Baby, 2
Christmas With The Kranks, 1
Get Smart, 1
IT: Chapter 2, 1
Evan Almighty, 3
Deadpool, 2
Boss Baby, 3
Megamind, 3
The Holiday, 2
Downsizing, 1
Blade Runner, 2
Nightcrawler, 3
Basic Instinct, 3
Ford v. Ferrari, 3
Joker, 3
10 Things I Hate About You, 2
Sliding Doors, 1
The Perfect Date, 2
No Strings Attached, 3
What To Expect When You're Expecting, 2
Jumanji: The Next Level, 2
Halloween (2019), 3
Minority Report, 3
El Camino, 1
About Time, 2
Oblivion, 2
The Grand Budapest Hotel, 4
Just Go With It, 3
Contagion, 1
Snatch, 5
Lord Of The Flies, 2
1917, 5
Spiderman: Into The Spiderverse, 4
Toy Story 4, 2
Rain Man, 2
Moon, 1
When Harry Met Sally, 3
"Planes, Trains and Automobiles", 5
Lost In Translation, 2
Steve Jobs, 1
"Extremely Wicked, Shockingly Evil and Vile", 3
Parasite, 5
Step Brothers, 2
Chappie, 3
Wedding Crashers, 1
Argo, 2
Moonlight, 3
Fury, 3
The Green Book, 3
Bridge of Spies, 1
The Lincoln Lawyer, 3
Scarface, 3
BlacKkKlansman, 2
The Perks Of Being A Wallflower, 2
Atonement, 2
About A Boy, 2
Hereditary, 3
How To Lose A Guy In 10 Days, 2
Revolutionary Road, 2
Tenet, 1
Room, 3
Jungle, 2
The Ides Of March, 1
The Prestige, 4
"Three Billboards Outside Ebbing, Missouri", 3
The Platform, 2
Taxi Driver, 2
Jojo Rabbit, 3
The Gentlemen, 3
Borat: Subsequent Moviefilm, 1
Lady Bird, 3
The Untouchables, 3
Nocturnal Animals, 3
Silver Linings Playbook, 2
V For Vendetta, 4
Fast & Furious Presents: Hobbs & Shaw, 1
Goodfellas, 5
The Proposal, 1
The Godfather, 1
Insidious, 1
Ready Player One, 2
Last Christmas, 2
The Grinch (2018), 3
Arthur Christmas, 1
Collateral, 3
The Boy in the Striped Pajamas, 4
Spotlight, 2
Early Man, 1
"Lock, Stock and Two Smoking Barrels", 3
Coco, 4
Alien, 3
The Greatest Showman, 5
Twelve Monkeys, 2
A Beautiful Mind, 3
Soul, 3
White Tiger, 2
The Usual Suspects, 2
American History X, 3
To All The Boys: Always and Forever, 2
Leon, 3
Full Metal Jacket, 3
12 Angry Men, 4
News Of The World, 3
Along Came Polly, 2
Run, 3
Marriage Story, 4
The Break-Up, 1
Heat, 2
The Curious Case Of Benjamin Button, 3
Sideways, 3
Godzilla vs. Kong, 2
Nomadland, 2
The Shape Of Water, 2
Gladiator, 5
Llamageddon, 1
Eternal Sunshine of the Spotless Mind, 4
Donnie Brasco, 3
The Talented Mr. Ripley, 4
RocknRolla, 2
Jerry Maguire, 2
A Clockwork Orange, 4
Brokeback Mountain, 3
Something Borrowed, 1
Dune, 3
There Will Be Blood, 5
The Artist, 4
Notting Hill, 2
One Flew Over The Cuckoos Nest, 3
Pokémon Detective Pikachu, 3
2001: A Space Odyssey, 2
Apocalypse Now, 3
Apocalypto, 5
Manchester By The Sea, 3
Children Of Men, 2
Sonic The Hedgehog, 4
Matrix Resurrections, 1
Don't Look Up, 3
The Unforgivable, 3
Raging Bull, 4
L.A. Confidential, 2
The Girl with the Dragon Tattoo, 4
Boogie Nights, 4
Jackie Brown, 3
Calibre, 3
City Of God, 5
Creed, 3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 3
